Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,CP_EIA-3528-15_AVX-H,60.750000,-142.500000,180.000000,top
C2,22uF,CP_EIA-3528-15_AVX-H,64.500000,-149.750000,270.000000,top
C3,100nF,C_0402_1005Metric,88.500000,-87.750000,0.000000,top
C4,10uF,CP_EIA-3216-18_Kemet-A,90.750000,-69.750000,270.000000,top
C5,100nF,C_0402_1005Metric,77.750000,-78.500000,180.000000,top
C6,100nF,C_0402_1005Metric,90.750000,-73.750000,270.000000,top
C7,100nF,C_0402_1005Metric,85.500000,-83.500000,270.000000,top
C8,100nF,C_0402_1005Metric,91.250000,-79.500000,0.000000,top
C9,100nF,C_0402_1005Metric,77.750000,-77.500000,180.000000,top
C10,10uF,CP_EIA-3216-18_Kemet-A,74.750000,-80.000000,90.000000,top
C11,100nF,C_0402_1005Metric,75.250000,-76.500000,180.000000,top
C12,100nF,C_0402_1005Metric,75.250000,-74.000000,180.000000,top
C13,100nF,C_0402_1005Metric,77.750000,-79.500000,180.000000,top
C14,100nF,C_0402_1005Metric,70.500000,-78.950000,0.000000,top
C15,100nF,C_0402_1005Metric,70.500000,-72.450000,0.000000,top
C16,1500pF,C_0402_1005Metric,58.000000,-86.350000,270.000000,top
C17,10uF,CP_EIA-3216-18_Kemet-A,83.750000,-106.000000,270.000000,top
C18,2.2uF,C_0603_1608Metric,63.500000,-122.000000,180.000000,top
C19,4.7uF,C_0402_1005Metric,64.750000,-124.500000,270.000000,top
C20,100nF,C_0402_1005Metric,87.000000,-147.250000,0.000000,top
C21,2.2uF,C_0603_1608Metric,79.500000,-127.000000,270.000000,top
C22,100nF,C_0402_1005Metric,77.250000,-106.250000,90.000000,top
C23,100nF,C_0402_1005Metric,75.800000,-106.750000,0.000000,top
C24,100nF,C_0402_1005Metric,70.750000,-106.270000,90.000000,top
C25,100nF,C_0402_1005Metric,64.250000,-111.000000,90.000000,top
C26,100nF,C_0402_1005Metric,65.750000,-124.500000,270.000000,top
C27,100nF,C_0402_1005Metric,81.750000,-124.500000,0.000000,top
C28,100nF,C_0402_1005Metric,83.750000,-110.500000,270.000000,top
C29,1uF,C_0402_1005Metric,67.400000,-106.250000,90.000000,top
C30,100nF,C_0402_1005Metric,68.400000,-106.250000,90.000000,top
C31,18pF,C_0402_1005Metric,77.250000,-102.750000,90.000000,top
C32,18pF,C_0402_1005Metric,71.750000,-102.750000,90.000000,top
D1,GR,LED_0603_1608Metric,47.500000,-145.500000,270.000000,top
D2,YE,LED_0603_1608Metric,75.750000,-144.250000,90.000000,top
D3,YE,LED_0603_1608Metric,52.500000,-61.500000,180.000000,top
D4,BL,LED_0603_1608Metric,88.000000,-119.500000,0.000000,top
F1,500mA,Fuse_1812_4532Metric_Castellated,68.750000,-141.000000,270.000000,top
L1,600R@100MHz,L_0805_2012Metric,66.000000,-105.450000,270.000000,top
L2,100@100MHz,L_0805_2012Metric,68.750000,-145.250000,0.000000,top
Q1,AO3401A,SOT-23,60.500000,-136.750000,270.000000,top
Q2,2N7002,SOT-23,64.250000,-133.000000,270.000000,top
Q3,AO3401A,SOT-23,64.250000,-136.750000,180.000000,top
R1,33,R_0402_1005Metric,49.000000,-146.000000,270.000000,top
R2,47k,R_0402_1005Metric,61.750000,-133.250000,90.000000,top
R3,33,R_0402_1005Metric,77.250000,-144.000000,90.000000,top
R4,2.2k,R_0402_1005Metric,82.500000,-95.000000,0.000000,top
R5,33,R_0402_1005Metric,86.500000,-70.000000,90.000000,top
R6,33,R_0402_1005Metric,85.500000,-69.990000,90.000000,top
R10,33,R_0402_1005Metric,87.500000,-70.000000,90.000000,top
R11,33,R_0402_1005Metric,91.250000,-76.500000,0.000000,top
R12,33,R_0402_1005Metric,91.250000,-75.500000,0.000000,top
R13,33,R_0402_1005Metric,84.500000,-83.500000,270.000000,top
R14,33,R_0402_1005Metric,83.500000,-83.500000,270.000000,top
R18,33,R_0402_1005Metric,91.250000,-77.500000,0.000000,top
R19,2.2k,R_0402_1005Metric,82.500000,-83.500000,270.000000,top
R20,0,R_0402_1005Metric,86.500000,-83.500000,270.000000,top
R21,2.2k,R_0402_1005Metric,77.750000,-81.500000,0.000000,top
R22,2.2k,R_0402_1005Metric,77.750000,-80.500000,0.000000,top
R23,49.9,R_0402_1005Metric,77.750000,-76.500000,180.000000,top
R24,49.9,R_0402_1005Metric,77.750000,-75.250000,0.000000,top
R25,49.9,R_0402_1005Metric,77.750000,-74.000000,180.000000,top
R26,49.9,R_0402_1005Metric,77.750000,-72.750000,0.000000,top
R27,4.7k,R_0402_1005Metric,80.000000,-81.750000,90.000000,top
R28,150,R_0402_1005Metric,79.500000,-83.250000,0.000000,top
R29,22,R_0402_1005Metric,77.500000,-83.250000,0.000000,top
R30,2.2k,R_0402_1005Metric,91.250000,-78.500000,180.000000,top
R34,75,R_0402_1005Metric,61.000000,-84.350000,270.000000,top
R35,75,R_0402_1005Metric,60.000000,-84.350000,270.000000,top
R36,75,R_0402_1005Metric,58.000000,-84.350000,270.000000,top
R37,75,R_0402_1005Metric,59.000000,-84.350000,270.000000,top
R38,2.2k,R_0402_1005Metric,67.990000,-93.500000,0.000000,top
R39,2.2k,R_0402_1005Metric,79.000000,-91.500000,180.000000,top
R40,0,R_1206_3216Metric,62.250000,-67.250000,180.000000,top
R41,0,R_1206_3216Metric,62.250000,-87.500000,180.000000,top
R42,33,R_0402_1005Metric,68.000000,-92.250000,180.000000,top
R43,2.2k,R_0402_1005Metric,68.000000,-90.750000,0.000000,top
R44,2.2k,R_0402_1005Metric,79.000000,-89.000000,180.000000,top
R45,33,R_0402_1005Metric,68.000000,-86.750000,0.000000,top
R46,33,R_0402_1005Metric,68.000000,-89.500000,0.000000,top
R47,2.2k,R_0402_1005Metric,68.000000,-88.000000,0.000000,top
R48,2.2k,R_0402_1005Metric,79.000000,-86.250000,180.000000,top
R49,0,R_0402_1005Metric,69.400000,-106.250000,270.000000,top
R50,100,R_0402_1005Metric,85.250000,-119.500000,180.000000,top
